bank_id,utr,date,credit
BANK0001,UTR000001,2026-08-13,732.3
BANK0002,UTR000002,2026-08-03,2441.0
BANK0003,UTR000003,2026-08-06,1464.6
BANK0004,UTR000004,2026-08-05,732.3
BANK0005,UTR000005,2026-08-13,14646.0
BANK0006,UTR000006,2026-08-04,19528.0
BANK0007,UTR000007,2026-08-09,488.2
BANK0008,UTR000008,2026-08-03,732.3
BANK0009,UTR000009,2026-08-06,1464.6
BANK0010,UTR000010,2026-08-11,19528.0
BANK0011,UTR000011,2026-08-03,14646.0
BANK0012,UTR000012,2026-08-06,14646.0
BANK0013,UTR000013,2026-08-09,1464.6
BANK0014,UTR000014,2026-08-10,19528.0
BANK0015,UTR000015,2026-08-07,488.2
BANK0016,UTR000016,2026-08-05,7323.0
BANK0017,UTR000017,2026-08-08,2441.0
BANK0018,UTR000018,2026-08-05,1464.6
BANK0019,UTR000019,2026-08-08,732.3
BANK0020,UTR000020,2026-08-04,7323.0
BANK0021,UTR000021,2026-08-04,4882.0
BANK0022,UTR000022,2026-08-08,19528.0
BANK0023,UTR000023,2026-08-07,488.2
BANK0024,UTR000024,2026-08-10,14646.0
BANK0025,UTR000025,2026-08-04,7323.0
BANK0026,UTR000026,2026-08-04,14646.0
BANK0027,UTR000027,2026-08-07,19528.0
BANK0028,UTR000028,2026-08-08,19528.0
BANK0029,UTR000029,2026-08-06,732.3
BANK0030,UTR000030,2026-08-03,1464.6
BANK0031,UTR000031,2026-08-20,732.3
BANK0032,UTR000032,2026-08-06,732.3
BANK0033,UTR000033,2026-08-09,2441.0
BANK0034,UTR000034,2026-08-10,4882.0
BANK0035,UTR000035,2026-08-05,4882.0
BANK0036,UTR000036,2026-08-08,1464.6
BANK0037,UTR000037,2026-08-13,2441.0
BANK0038,UTR000038,2026-08-13,732.3
BANK0039,UTR000039,2026-08-12,976.4
BANK0040,UTR000040,2026-08-11,1464.6
BANK0041,UTR000041,2026-08-05,9764.0
BANK0042,UTR000042,2026-08-09,2441.0
BANK0043,UTR000043,2026-08-13,14646.0
BANK0044,UTR000044,2026-08-20,4882.0
BANK0045,UTR000045,2026-08-03,1464.6
BANK0046,UTR000046,2026-08-20,4882.0
BANK0047,UTR000047,2026-08-09,2441.0
BANK0048,UTR000048,2026-08-04,1464.6
BANK0049,UTR000049,2026-08-12,4882.0
BANK0050,UTR000050,2026-08-06,9764.0
BANK0051,UTR000051,2026-08-09,9764.0
BANK0052,UTR000052,2026-08-05,2441.0
BANK0053,UTR000053,2026-08-05,1464.6
BANK0054,UTR000054,2026-08-11,14646.0
BANK0055,UTR000055,2026-08-07,19528.0
BANK0056,UTR000056,2026-08-09,19528.0
BANK0057,UTR000057,2026-08-09,4882.0
BANK0058,UTR000058,2026-08-06,976.4
BANK0059,UTR000059,2026-08-11,9764.0
BANK0060,UTR000060,2026-08-04,488.2
BANK0061,UTR000061,2026-08-04,976.4
BANK0062,UTR000062,2026-08-13,976.4
BANK0063,UTR000063,2026-08-13,7323.0
BANK0064,UTR000064,2026-08-12,732.3
BANK0065,UTR000065,2026-08-09,7323.0
BANK0066,UTR000066,2026-08-12,9764.0
BANK0067,UTR000067,2026-08-11,2441.0
BANK0068,UTR000068,2026-08-11,488.2
BANK0069,UTR000069,2026-08-13,732.3
BANK0070,UTR000070,2026-08-13,14646.0
BANK0071,UTR000071,2026-08-07,4882.0
BANK0072,UTR000072,2026-08-04,2441.0
BANK0073,UTR000073,2026-08-09,976.4
BANK0074,UTR000074,2026-08-10,488.2
BANK0075,UTR000075,2026-08-07,14646.0
BANK0076,UTR000076,2026-08-05,14646.0
BANK0077,UTR000077,2026-08-04,2441.0
BANK0078,UTR000078,2026-08-13,14646.0
BANK0079,UTR000079,2026-08-12,1464.6
BANK0080,UTR000080,2026-08-05,4882.0
BANK0081,UTR000081,2026-08-05,14646.0
BANK0082,UTR000082,2026-08-11,488.2
BANK0083,UTR000083,2026-08-12,4882.0
BANK0084,UTR000084,2026-08-10,488.2
BANK0085,UTR000085,2026-08-04,4882.0
BANK0086,UTR000086,2026-08-07,1464.6
BANK0087,UTR000087,2026-08-03,1464.6
BANK0088,UTR000088,2026-08-12,732.3
BANK0089,UTR000089,2026-08-20,9764.0
BANK0090,UTR000090,2026-08-04,14646.0
BANK0091,WRONG000091,2026-08-05,976.4
BANK0092,UTR000092,2026-08-13,9764.0
BANK0093,UTR000093,2026-08-11,976.4
BANK0094,UTR000094,2026-08-07,14646.0
BANK0095,UTR000095,2026-08-12,7323.0
BANK0096,UTR000096,2026-08-06,14646.0
BANK0097,UTR000097,2026-08-06,2441.0
BANK0098,UTR000098,2026-08-09,4882.0
BANK0099,UTR000099,2026-08-10,14646.0
BANK0100,UTR000100,2026-08-10,732.3
