ledger_id,payment_id,date,type,amount
LED0001,PAY0001,2026-08-11,CREDIT,750
LED0002,PAY0002,2026-08-01,CREDIT,2500
LED0003,PAY0003,2026-08-04,CREDIT,1500
LED0004,PAY0004,2026-08-03,CREDIT,750
LED0005,PAY0005,2026-08-11,CREDIT,15000
LED0006,PAY0006,2026-08-02,CREDIT,20000
LED0007,PAY0007,2026-08-07,CREDIT,500
LED0008,PAY0008,2026-08-01,CREDIT,750
LED0009,PAY0009,2026-08-04,CREDIT,1500
LED0010,PAY0010,2026-08-09,CREDIT,20000
LED0011,PAY0011,2026-08-01,CREDIT,15000
LED0012,PAY0012,2026-08-04,CREDIT,15000
LED0013,PAY0013,2026-08-07,CREDIT,1500
LED0014,PAY0014,2026-08-08,CREDIT,20000
LED0015,PAY0015,2026-08-05,CREDIT,500
LED0016,PAY0016,2026-08-03,CREDIT,7500
LED0017,PAY0017,2026-08-06,CREDIT,2500
LED0018,PAY0018,2026-08-03,CREDIT,1500
LED0019,PAY0019,2026-08-06,CREDIT,750
LED0020,PAY0020,2026-08-02,CREDIT,7500
LED0021,PAY0021,2026-08-02,CREDIT,5000
LED0022,PAY0022,2026-08-06,CREDIT,20000
LED0023,PAY0023,2026-08-05,CREDIT,500
LED0024,PAY0024,2026-08-08,CREDIT,15000
LED0025,PAY0025,2026-08-02,CREDIT,7500
LED0026,PAY0026,2026-08-02,CREDIT,15000
LED0027,PAY0027,2026-08-05,CREDIT,20000
LED0028,PAY0028,2026-08-06,CREDIT,20000
LED0029,PAY0029,2026-08-04,CREDIT,750
LED0030,PAY0030,2026-08-01,CREDIT,1500
LED0031,PAY0031,2026-08-05,CREDIT,750
LED0032,PAY0032,2026-08-04,CREDIT,750
LED0033,PAY0033,2026-08-07,CREDIT,2500
LED0034,PAY0034,2026-08-08,CREDIT,5000
LED0035,PAY0035,2026-08-03,CREDIT,5000
LED0036,PAY0036,2026-08-06,CREDIT,1500
LED0037,PAY0037,2026-08-11,CREDIT,2500
LED0038,PAY0038,2026-08-11,CREDIT,750
LED0039,PAY0039,2026-08-10,CREDIT,1000
LED0040,PAY0040,2026-08-09,CREDIT,1500
LED0041,PAY0041,2026-08-03,CREDIT,10000
LED0042,PAY0042,2026-08-07,CREDIT,2500
LED0043,PAY0043,2026-08-11,CREDIT,15000
LED0044,PAY0044,2026-08-04,CREDIT,5000
LED0045,PAY0045,2026-08-01,CREDIT,1500
LED0046,PAY0046,2026-08-01,CREDIT,5000
LED0047,PAY0047,2026-08-07,CREDIT,2500
LED0048,PAY0048,2026-08-02,CREDIT,1500
LED0049,PAY0049,2026-08-10,CREDIT,5000
LED0050,PAY0050,2026-08-04,CREDIT,10000
LED0051,PAY0051,2026-08-07,CREDIT,10000
LED0052,PAY0052,2026-08-03,CREDIT,2500
LED0053,PAY0053,2026-08-03,CREDIT,1500
LED0054,PAY0054,2026-08-09,CREDIT,15000
LED0055,PAY0055,2026-08-05,CREDIT,20000
LED0056,PAY0056,2026-08-07,CREDIT,20000
LED0057,PAY0057,2026-08-07,CREDIT,5000
LED0058,PAY0058,2026-08-04,CREDIT,1000
LED0059,PAY0059,2026-08-09,CREDIT,10000
LED0060,PAY0060,2026-08-02,CREDIT,500
LED0061,PAY0061,2026-08-02,CREDIT,1000
LED0062,PAY0062,2026-08-11,CREDIT,1000
LED0063,PAY0063,2026-08-11,CREDIT,7500
LED0064,PAY0064,2026-08-10,CREDIT,750
LED0065,PAY0065,2026-08-07,CREDIT,7500
LED0066,PAY0066,2026-08-10,CREDIT,10000
LED0067,PAY0067,2026-08-09,CREDIT,2500
LED0068,PAY0068,2026-08-09,CREDIT,500
LED0069,PAY0069,2026-08-11,CREDIT,750
LED0070,PAY0070,2026-08-11,CREDIT,15000
LED0071,PAY0071,2026-08-05,CREDIT,5000
LED0072,PAY0072,2026-08-02,CREDIT,2500
LED0073,PAY0073,2026-08-07,CREDIT,1000
LED0074,PAY0074,2026-08-08,CREDIT,500
LED0075,PAY0075,2026-08-05,CREDIT,15000
LED0076,PAY0076,2026-08-03,CREDIT,15000
LED0077,PAY0077,2026-08-02,CREDIT,2500
LED0078,PAY0078,2026-08-11,CREDIT,15000
LED0079,PAY0079,2026-08-10,CREDIT,1500
LED0080,PAY0080,2026-08-03,CREDIT,5000
LED0081,PAY0081,2026-08-03,CREDIT,15000
LED0082,PAY0082,2026-08-09,CREDIT,500
LED0083,PAY0083,2026-08-10,CREDIT,5000
LED0084,PAY0084,2026-08-08,CREDIT,500
LED0085,PAY0085,2026-08-02,CREDIT,5000
LED0086,PAY0086,2026-08-05,CREDIT,1500
LED0087,PAY0087,2026-08-01,CREDIT,1500
LED0088,PAY0088,2026-08-10,CREDIT,750
LED0089,PAY0089,2026-08-02,CREDIT,10000
LED0090,PAY0090,2026-08-02,CREDIT,15000
LED0091,PAY0091,2026-08-03,CREDIT,1000
LED0092,PAY0092,2026-08-11,CREDIT,10000
LED0093,PAY0093,2026-08-09,CREDIT,1000
LED0094,PAY0094,2026-08-05,CREDIT,15000
LED0095,PAY0095,2026-08-10,CREDIT,7500
LED0096,PAY0096,2026-08-04,CREDIT,15000
LED0097,PAY0097,2026-08-04,CREDIT,2500
LED0098,PAY0098,2026-08-07,CREDIT,5000
LED0099,PAY0099,2026-08-08,CREDIT,15000
LED0100,PAY0100,2026-08-08,CREDIT,750
LED0101,PAY0101,2026-08-04,CREDIT,1500
LED0102,PAY0102,2026-08-02,CREDIT,5000
LED0103,PAY0103,2026-08-01,CREDIT,20000
LED0104,PAY0104,2026-08-09,CREDIT,1500
LED0105,PAY0105,2026-08-10,CREDIT,1500
LED0106,PAY0106,2026-08-01,CREDIT,750
LED0107,PAY0107,2026-08-11,CREDIT,500
LED0108,PAY0108,2026-08-04,CREDIT,750
LED0109,PAY0109,2026-08-01,CREDIT,5000
LED0110,PAY0110,2026-08-02,CREDIT,15000
LED0111,PAY0111,2026-08-04,CREDIT,2500
LED0112,PAY0112,2026-08-11,CREDIT,10000
LED0113,PAY0113,2026-08-04,CREDIT,15000
LED0114,PAY0114,2026-08-03,CREDIT,20000
LED0115,PAY0115,2026-08-10,CREDIT,10000
LED0116,PAY0116,2026-08-04,CREDIT,10000
LED0117,PAY0117,2026-08-07,CREDIT,1500
LED0118,PAY0118,2026-08-02,CREDIT,750
LED0119,PAY0119,2026-08-11,CREDIT,7500
LED0120,PAY0120,2026-08-06,CREDIT,7500
LED0121,PAY0121,2026-08-07,CREDIT,10000
LED0122,PAY0122,2026-08-01,CREDIT,750
LED0123,PAY0123,2026-08-01,CREDIT,7500
LED0124,PAY0124,2026-08-06,CREDIT,750
LED0125,PAY0125,2026-08-04,CREDIT,1500
LED0126,PAY0126,2026-08-04,CREDIT,15000
LED0127,PAY0127,2026-08-08,CREDIT,1000
LED0128,PAY0128,2026-08-07,CREDIT,1000
LED0129,PAY0129,2026-08-05,CREDIT,10000
LED0130,PAY0130,2026-08-04,CREDIT,750
LED0131,PAY0131,2026-08-08,CREDIT,15000
LED0132,PAY0132,2026-08-02,CREDIT,500
LED0133,PAY0133,2026-08-11,CREDIT,15000
LED0134,PAY0134,2026-08-01,CREDIT,750
LED0135,PAY0135,2026-08-04,CREDIT,1000
LED0136,PAY0136,2026-08-07,CREDIT,10000
LED0137,PAY0137,2026-08-08,CREDIT,1500
LED0138,PAY0138,2026-08-07,CREDIT,500
LED0139,PAY0139,2026-08-03,CREDIT,7500
LED0140,PAY0140,2026-08-01,CREDIT,7500
LED0141,PAY0141,2026-08-05,CREDIT,10000
LED0142,PAY0142,2026-08-05,CREDIT,7500
LED0143,PAY0143,2026-08-09,CREDIT,10000
LED0144,PAY0144,2026-08-03,CREDIT,1500
LED0145,PAY0145,2026-08-05,CREDIT,1500
LED0146,PAY0146,2026-08-01,CREDIT,20000
LED0147,PAY0147,2026-08-09,CREDIT,500
LED0148,PAY0148,2026-08-06,CREDIT,500
LED0149,PAY0149,2026-08-01,CREDIT,20000
LED0150,PAY0150,2026-08-08,CREDIT,15000
LED0151,PAY0151,2026-08-09,CREDIT,1000
LED0152,PAY0152,2026-08-01,CREDIT,15000
LED0153,PAY0153,2026-08-02,CREDIT,1000
LED0154,PAY0154,2026-08-02,CREDIT,20000
LED0155,PAY0155,2026-08-02,CREDIT,1500
LED0156,PAY0156,2026-08-07,CREDIT,750
LED0157,PAY0157,2026-08-10,CREDIT,1500
LED0158,PAY0158,2026-08-10,CREDIT,20000
LED0159,PAY0159,2026-08-01,CREDIT,20000
LED0160,PAY0160,2026-08-02,CREDIT,7500
LED0161,PAY0161,2026-08-11,CREDIT,20000
LED0162,PAY0162,2026-08-10,CREDIT,15000
LED0163,PAY0163,2026-08-06,CREDIT,2500
LED0164,PAY0164,2026-08-04,CREDIT,5000
LED0165,PAY0165,2026-08-04,CREDIT,2500
LED0166,PAY0166,2026-08-07,CREDIT,1000
LED0167,PAY0167,2026-08-11,CREDIT,2500
LED0168,PAY0168,2026-08-08,CREDIT,5000
LED0169,PAY0169,2026-08-02,CREDIT,500
LED0170,PAY0170,2026-08-08,CREDIT,20000
LED0171,PAY0171,2026-08-10,CREDIT,750
LED0172,PAY0172,2026-08-02,CREDIT,15000
LED0173,PAY0173,2026-08-04,CREDIT,15000
LED0174,PAY0174,2026-08-05,CREDIT,1000
LED0175,PAY0175,2026-08-06,CREDIT,750
LED0176,PAY0176,2026-08-04,CREDIT,5000
LED0177,PAY0177,2026-08-05,CREDIT,1000
LED0178,PAY0178,2026-08-08,CREDIT,15000
LED0179,PAY0179,2026-08-05,CREDIT,20000
LED0180,PAY0180,2026-08-11,CREDIT,15000
LED0181,PAY0181,2026-08-01,CREDIT,15000
LED0182,PAY0182,2026-08-05,CREDIT,750
LED0183,PAY0183,2026-08-03,CREDIT,2500
LED0184,PAY0184,2026-08-02,CREDIT,750
LED0185,PAY0185,2026-08-09,CREDIT,1000
LED0186,PAY0186,2026-08-05,CREDIT,2500
LED0187,PAY0187,2026-08-10,CREDIT,1500
LED0188,PAY0188,2026-08-06,CREDIT,1500
