settlement_id,payment_id,utr,date,gross_amount,fee,tax,net_amount
SET0001,PAY0001,UTR000001,2026-08-13,750,15.0,2.7,732.3
SET0002,PAY0002,UTR000002,2026-08-03,2500,50.0,9.0,2441.0
SET0003,PAY0003,UTR000003,2026-08-06,1500,30.0,5.4,1464.6
SET0004,PAY0004,UTR000004,2026-08-05,750,15.0,2.7,732.3
SET0005,PAY0005,UTR000005,2026-08-13,15000,300.0,54.0,14646.0
SET0006,PAY0006,UTR000006,2026-08-04,20000,400.0,72.0,19528.0
SET0007,PAY0007,UTR000007,2026-08-09,500,10.0,1.8,488.2
SET0008,PAY0008,UTR000008,2026-08-03,750,15.0,2.7,732.3
SET0009,PAY0009,UTR000009,2026-08-06,1500,30.0,5.4,1464.6
SET0010,PAY0010,UTR000010,2026-08-11,20000,400.0,72.0,19528.0
SET0011,PAY0011,UTR000011,2026-08-03,15000,300.0,54.0,14646.0
SET0012,PAY0012,UTR000012,2026-08-06,15000,300.0,54.0,14646.0
SET0013,PAY0013,UTR000013,2026-08-09,1500,30.0,5.4,1464.6
SET0014,PAY0014,UTR000014,2026-08-10,20000,400.0,72.0,19528.0
SET0015,PAY0015,UTR000015,2026-08-07,500,10.0,1.8,488.2
SET0016,PAY0016,UTR000016,2026-08-05,7500,150.0,27.0,7323.0
SET0017,PAY0017,UTR000017,2026-08-08,2500,50.0,9.0,2441.0
SET0018,PAY0018,UTR000018,2026-08-05,1500,30.0,5.4,1464.6
SET0019,PAY0019,UTR000019,2026-08-08,750,15.0,2.7,732.3
SET0020,PAY0020,UTR000020,2026-08-04,7500,150.0,27.0,7323.0
SET0021,PAY0021,UTR000021,2026-08-04,5000,100.0,18.0,4882.0
SET0022,PAY0022,UTR000022,2026-08-08,20000,400.0,72.0,19528.0
SET0023,PAY0023,UTR000023,2026-08-07,500,10.0,1.8,488.2
SET0024,PAY0024,UTR000024,2026-08-10,15000,300.0,54.0,14646.0
SET0025,PAY0025,UTR000025,2026-08-04,7500,150.0,27.0,7323.0
SET0026,PAY0026,UTR000026,2026-08-04,15000,300.0,54.0,14646.0
SET0027,PAY0027,UTR000027,2026-08-07,20000,400.0,72.0,19528.0
SET0028,PAY0028,UTR000028,2026-08-08,20000,400.0,72.0,19528.0
SET0029,PAY0029,UTR000029,2026-08-06,750,15.0,2.7,732.3
SET0030,PAY0030,UTR000030,2026-08-03,1500,30.0,5.4,1464.6
SET0031,PAY0031,UTR000031,2026-08-07,750,15.0,2.7,732.3
SET0032,PAY0032,UTR000032,2026-08-06,750,15.0,2.7,732.3
SET0033,PAY0033,UTR000033,2026-08-09,2500,50.0,9.0,2441.0
SET0034,PAY0034,UTR000034,2026-08-10,5000,100.0,18.0,4882.0
SET0035,PAY0035,UTR000035,2026-08-05,5000,100.0,18.0,4882.0
SET0036,PAY0036,UTR000036,2026-08-08,1500,30.0,5.4,1464.6
SET0037,PAY0037,UTR000037,2026-08-13,2500,50.0,9.0,2441.0
SET0038,PAY0038,UTR000038,2026-08-13,750,15.0,2.7,732.3
SET0039,PAY0039,UTR000039,2026-08-12,1000,20.0,3.6,976.4
SET0040,PAY0040,UTR000040,2026-08-11,1500,30.0,5.4,1464.6
SET0041,PAY0041,UTR000041,2026-08-05,10000,200.0,36.0,9764.0
SET0042,PAY0042,UTR000042,2026-08-09,2500,50.0,9.0,2441.0
SET0043,PAY0043,UTR000043,2026-08-13,15000,600.0,54.0,14346.0
SET0044,PAY0044,UTR000044,2026-08-06,5000,100.0,18.0,4882.0
SET0045,PAY0045,UTR000045,2026-08-03,1500,30.0,5.4,1464.6
SET0046,PAY0046,UTR000046,2026-08-03,5000,100.0,18.0,4882.0
SET0047,PAY0047,UTR000047,2026-08-09,2500,50.0,9.0,2441.0
SET0048,PAY0048,UTR000048,2026-08-04,1500,30.0,5.4,1464.6
SET0049,PAY0049,UTR000049,2026-08-12,5000,100.0,18.0,4882.0
SET0050,PAY0050,UTR000050,2026-08-06,10000,200.0,36.0,9764.0
SET0051,PAY0051,UTR000051,2026-08-09,10000,200.0,36.0,9764.0
SET0052,PAY0052,UTR000052,2026-08-05,2500,50.0,9.0,2441.0
SET0053,PAY0053,UTR000053,2026-08-05,1500,30.0,5.4,1464.6
SET0054,PAY0054,UTR000054,2026-08-11,15000,300.0,54.0,14646.0
SET0055,PAY0055,UTR000055,2026-08-07,20000,400.0,72.0,19528.0
SET0056,PAY0056,UTR000056,2026-08-09,20000,400.0,72.0,19528.0
SET0057,PAY0057,UTR000057,2026-08-09,5000,100.0,18.0,4882.0
SET0058,PAY0058,UTR000058,2026-08-06,1000,20.0,3.6,976.4
SET0059,PAY0059,UTR000059,2026-08-11,10000,200.0,36.0,9764.0
SET0060,PAY0060,UTR000060,2026-08-04,500,10.0,1.8,488.2
SET0061,PAY0061,UTR000061,2026-08-04,1000,20.0,3.6,976.4
SET0062,PAY0062,UTR000062,2026-08-13,1000,20.0,3.6,976.4
SET0063,PAY0063,UTR000063,2026-08-13,7500,150.0,27.0,7323.0
SET0064,PAY0064,UTR000064,2026-08-12,750,15.0,2.7,732.3
SET0065,PAY0065,UTR000065,2026-08-09,7500,150.0,27.0,7323.0
SET0066,PAY0066,UTR000066,2026-08-12,10000,200.0,36.0,9764.0
SET0067,PAY0067,UTR000067,2026-08-11,2500,50.0,9.0,2441.0
